,{producer;consumer;storage;hub;conversion},{true;false},{true;false},{true;false},kEUR/MW/year,MW,MW,MW,MW,{true;false},MWh/year,MWh,MWh,h
name,type,active,investable,investment_integer,investment_cost,investment_limit,capacity,initial_capacity,peak_demand,is_seasonal,storage_inflows,initial_storage_capacity,initial_storage_level,energy_to_power_ratio
ES_Hydro_Reservoir,storage,True,False,False,0.0,,10972.0,10972.0,0.0,False,10972,11648500.0,5824250.0,0
ES_Nuclear,producer,True,False,False,0.0,,3041.0,3041.0,0.0,False,0,0.0,0.0,0
ES_Battery,storage,True,True,False,77577.8503057667,,1000.0,0.0,0.0,False,0,0.0,,3
ES_Pump_Hydro_Closed,storage,True,False,False,0.0,,1000.0,6866.0,0.0,False,6866,99000.0,49500.0,0
ES_Pump_Hydro_Open,storage,True,False,False,0.0,,1000.0,2683.0,0.0,False,2683,5961900.0,2980950.0,0
ES_H_Demand,consumer,True,False,False,0.0,,0.0,0.0,512.5,False,0,0.0,,0
ES_Blue_Hydrogen,producer,True,True,False,0.0,,1000.0,0.0,0.0,False,0,0.0,,0
ES_PEMEC,conversion,True,True,False,69706.05505619879,,1000.0,0.0,0.0,False,0,0.0,,0
ES_PEMFC,conversion,True,True,False,147495.02600554653,,1000.0,0.0,0.0,False,0,0.0,,0
ES_H2Tank,storage,True,True,False,12682.673923355702,,1000.0,0.0,0.0,False,0,0.0,,4
PT_E_Balance,hub,True,False,False,0.0,,0.0,0.0,0.0,False,0,0.0,0.0,0
PT_E_Demand,consumer,True,False,False,0.0,,0.0,0.0,9030.0,False,0,0.0,0.0,0
PT_E_ENS,producer,True,True,False,0.0,,1000.0,0.0,0.0,False,0,0.0,0.0,0
PT_Wind_Onshore,producer,True,True,False,77356.32865703155,8901.0,1000.0,0.0,0.0,False,0,0.0,0.0,0
PT_Wind_Offshore,producer,True,True,False,119732.61777406993,,1000.0,0.0,0.0,False,0,0.0,0.0,0
PT_Solar,producer,True,True,False,34342.98027538492,,1000.0,0.0,0.0,False,0,0.0,0.0,0
PT_Hydro,producer,True,False,False,0.0,,793.0,793.0,0.0,False,0,0.0,0.0,0
PT_Hydro_Reservoir,storage,True,False,False,0.0,,3766.0,3766.0,0.0,False,3766,1289600.0,644800.0,0
PT_Battery,storage,True,True,False,77577.8503057667,,1000.0,0.0,0.0,False,0,0.0,,3
PT_Pump_Hydro_Open,storage,True,False,False,0.0,,1000.0,3832.0,0.0,False,3832,2017900.0,1008950.0,0
PT_PEMEC,conversion,True,True,False,69706.05505619879,,1000.0,0.0,0.0,False,0,0.0,,0
PT_PEMFC,conversion,True,True,False,147495.02600554653,,1000.0,0.0,0.0,False,0,0.0,,0
PT_H2Tank,storage,True,True,False,12682.673923355702,,1000.0,0.0,0.0,False,0,0.0,,4
IT_E_Balance,hub,True,False,False,0.0,,0.0,0.0,0.0,False,0,0.0,0.0,0
IT_E_Demand,consumer,True,False,False,0.0,,0.0,0.0,62099.0,False,0,0.0,0.0,0
IT_E_ENS,producer,True,True,False,0.0,,1000.0,0.0,0.0,False,0,0.0,0.0,0
IT_Wind_Onshore,producer,True,True,False,77356.32865703155,18400.0,1000.0,0.0,0.0,False,0,0.0,0.0,0
IT_Wind_Offshore,producer,True,True,False,119732.61777406993,,1000.0,0.0,0.0,False,0,0.0,0.0,0
IT_Solar,producer,True,True,False,34342.98027538492,,1000.0,0.0,0.0,False,0,0.0,0.0,0
IT_Hydro,producer,True,False,False,0.0,,6180.0,6180.0,0.0,False,0,0.0,0.0,0
IT_Hydro_Reservoir,storage,True,False,False,0.0,,9576.0,9576.0,0.0,False,9576,5567850.0,2783925.0,0
IT_Battery,storage,True,True,False,77577.8503057667,,1000.0,0.0,0.0,False,0,0.0,,3
IT_Pump_Hydro_Closed,storage,True,False,False,0.0,,1000.0,6200.0,0.0,False,6200,63000.0,31500.0,0
IT_Pump_Hydro_Open,storage,True,False,False,0.0,,1000.0,3254.0,0.0,False,3254,288990.0,144495.0,0
IT_H_Demand,consumer,True,False,False,0.0,,0.0,0.0,2655.0,False,0,0.0,,0
IT_Blue_Hydrogen,producer,True,True,False,0.0,,1000.0,0.0,0.0,False,0,0.0,,0
IT_PEMEC,conversion,True,True,False,69706.05505619879,,1000.0,0.0,0.0,False,0,0.0,,0
IT_PEMFC,conversion,True,True,False,147495.02600554653,,1000.0,0.0,0.0,False,0,0.0,,0
IT_H2Tank,storage,True,True,False,12682.673923355702,,1000.0,0.0,0.0,False,0,0.0,,4
MT_E_Balance,hub,True,False,False,0.0,,0.0,0.0,0.0,False,0,0.0,0.0,0
MT_E_Demand,consumer,True,False,False,0.0,,0.0,0.0,552.0,False,0,0.0,0.0,0
MT_E_ENS,producer,True,True,False,0.0,,1000.0,0.0,0.0,False,0,0.0,0.0,0
MT_Solar,producer,True,True,False,34342.98027538492,,1000.0,0.0,0.0,False,0,0.0,0.0,0
MT_Battery,storage,True,True,False,77577.8503057667,,1000.0,0.0,0.0,False,0,0.0,,3
MT_PEMEC,conversion,True,True,False,69706.05505619879,,1000.0,0.0,0.0,False,0,0.0,,0
MT_PEMFC,conversion,True,True,False,147495.02600554653,,1000.0,0.0,0.0,False,0,0.0,,0
MT_H2Tank,storage,True,True,False,12682.673923355702,,1000.0,0.0,0.0,False,0,0.0,,4
SI_E_Balance,hub,True,False,False,0.0,,0.0,0.0,0.0,False,0,0.0,0.0,0
