,,,{uniform;explicit;math},
from_asset,to_asset,rep_period,specification,partition
EE_E_Balance,FI_E_Demand,1,uniform,4
FI_E_Balance,SE_E_Demand,1,uniform,4
SE_E_Balance,FI_E_Demand,1,uniform,4
FI_E_Balance,FI_E_Demand,1,uniform,4
FI_E_ENS,FI_E_Demand,1,uniform,4
FI_Wind_Onshore,FI_E_Balance,1,uniform,4
FI_Wind_Offshore,FI_E_Balance,1,uniform,4
FI_Solar,FI_E_Balance,1,uniform,4
FI_Hydro_Reservoir,FI_E_Balance,1,uniform,4
FI_Nuclear,FI_E_Balance,1,uniform,4
FI_E_Balance,FI_Battery,1,uniform,4
