,asset_name,asset_name,{true;false},{true;false},{true;false},{true;false},kEUR/MWh,kEUR/MW/year,MW,MW,MW,MW,p.u.
carrier,from_asset,to_asset,active,is_transport,investable,investment_integer,variable_cost,investment_cost,investment_limit,capacity,initial_export_capacity,initial_import_capacity,efficiency
electricity,LU_E_Balance,LU_Battery,True,False,True,False,0.0,0.0,,1000,0,0,0.9550000000000001
electricity,LU_Battery,LU_E_Demand,True,False,True,False,0.0,0.0,,1000,0,0,0.9550000000000001
electricity,LU_Battery,LU_PEMEC,True,False,True,False,0.0,0.0,,1000,0,0,0.9550000000000001
electricity,LU_E_Balance,LU_Pump_Hydro_Closed,True,False,True,False,0.0,0.0,,1000,0,0,0.875
electricity,LU_Pump_Hydro_Closed,LU_E_Balance,True,False,True,False,0.0,0.0,,1000,0,0,0.875
hydrogen,LU_Blue_Hydrogen,LU_H_Demand,True,False,True,False,57.25,0.0,,1000,0,0,1.0
electricity,LU_E_Balance,LU_PEMEC,True,False,True,False,0.0,0.0,,1000,0,0,1.0
hydrogen,LU_PEMEC,LU_H2Tank,True,False,True,False,0.0,0.0,,1000,0,0,0.585
hydrogen,LU_PEMEC,LU_H_Demand,True,False,True,False,0.0,0.0,,1000,0,0,0.585
electricity,LU_PEMFC,LU_E_Demand,True,False,True,False,0.0,0.0,,1000,0,0,0.5
hydrogen,LU_H2Tank,LU_PEMFC,True,False,True,False,0.0,0.0,,1000,0,0,1.0
hydrogen,LU_H2Tank,LU_H_Demand,True,False,True,False,0.0,0.0,,1000,0,0,1.0
electricity,CZ_E_Balance,AT_E_Demand,True,True,False,False,27,2.6957550984694505,,1000,900,0,0.9
electricity,AT_E_Balance,CZ_E_Demand,True,True,False,False,27,2.6957550984694505,,1000,900,0,0.9
electricity,CZ_E_Balance,DE_E_Demand,True,True,False,False,37,2.6957550984694505,,1000,2100,0,0.9
electricity,DE_E_Balance,CZ_E_Demand,True,True,False,False,37,2.6957550984694505,,1000,2100,0,0.9
electricity,CZ_E_Balance,CZ_E_Demand,True,False,True,False,0.0,0.0,,1000,0,0,1.0
electricity,CZ_E_ENS,CZ_E_Demand,True,False,True,False,1000.0,0.0,,1000,0,0,1.0
electricity,CZ_Wind_Onshore,CZ_E_Balance,True,False,True,False,2.06,0.0,,1000,0,0,1.0
electricity,CZ_Solar,CZ_E_Balance,True,False,True,False,0.0,0.0,,1000,0,0,1.0
electricity,CZ_Hydro,CZ_E_Balance,True,False,True,False,0.0,0.0,,1000,0,0,1.0
electricity,CZ_Hydro_Reservoir,CZ_E_Balance,True,False,True,False,0.0,0.0,,1000,0,0,1.0
electricity,CZ_Nuclear,CZ_E_Balance,True,False,True,False,11.5,0.0,,1000,0,0,1.0
electricity,CZ_E_Balance,CZ_Battery,True,False,True,False,0.0,0.0,,1000,0,0,0.9550000000000001
electricity,CZ_Battery,CZ_E_Demand,True,False,True,False,0.0,0.0,,1000,0,0,0.9550000000000001
electricity,CZ_Battery,CZ_PEMEC,True,False,True,False,0.0,0.0,,1000,0,0,0.9550000000000001
electricity,CZ_E_Balance,CZ_Pump_Hydro_Closed,True,False,True,False,0.0,0.0,,1000,0,0,0.875
electricity,CZ_Pump_Hydro_Closed,CZ_E_Balance,True,False,True,False,0.0,0.0,,1000,0,0,0.875
electricity,CZ_E_Balance,CZ_Pump_Hydro_Open,True,False,True,False,0.0,0.0,,1000,0,0,0.875
electricity,CZ_Pump_Hydro_Open,CZ_E_Balance,True,False,True,False,0.0,0.0,,1000,0,0,0.875
hydrogen,CZ_Blue_Hydrogen,CZ_H_Demand,True,False,True,False,57.25,0.0,,1000,0,0,1.0
electricity,CZ_E_Balance,CZ_PEMEC,True,False,True,False,0.0,0.0,,1000,0,0,1.0
hydrogen,CZ_PEMEC,CZ_H2Tank,True,False,True,False,0.0,0.0,,1000,0,0,0.585
hydrogen,CZ_PEMEC,CZ_H_Demand,True,False,True,False,0.0,0.0,,1000,0,0,0.585
electricity,CZ_PEMFC,CZ_E_Demand,True,False,True,False,0.0,0.0,,1000,0,0,0.5
hydrogen,CZ_H2Tank,CZ_PEMFC,True,False,True,False,0.0,0.0,,1000,0,0,1.0
hydrogen,CZ_H2Tank,CZ_H_Demand,True,False,True,False,0.0,0.0,,1000,0,0,1.0
electricity,PL_E_Balance,DK_E_Demand,True,True,False,False,67,2.6957550984694505,,1000,600,0,0.9
electricity,DK_E_Balance,PL_E_Demand,True,True,False,False,67,2.6957550984694505,,1000,600,0,0.9
electricity,PL_E_Balance,CZ_E_Demand,True,True,False,False,39,2.6957550984694505,,1000,800,0,0.9
electricity,CZ_E_Balance,PL_E_Demand,True,True,False,False,39,2.6957550984694505,,1000,800,0,0.9
electricity,PL_E_Balance,DE_E_Demand,True,True,False,False,63,2.6957550984694505,,1000,3000,0,0.9
electricity,DE_E_Balance,PL_E_Demand,True,True,False,False,63,2.6957550984694505,,1000,3000,0,0.9
electricity,PL_E_Balance,PL_E_Demand,True,False,True,False,0.0,0.0,,1000,0,0,1.0
electricity,PL_E_ENS,PL_E_Demand,True,False,True,False,1000.0,0.0,,1000,0,0,1.0
electricity,PL_Wind_Onshore,PL_E_Balance,True,False,True,False,2.06,0.0,,1000,0,0,1.0
electricity,PL_Wind_Offshore,PL_E_Balance,True,False,True,False,4.17,0.0,,1000,0,0,1.0
